时刻点,实时出清电价（元/MWh）,实际序号,机组出力（MW）,实时滚动预测电价（元/MWh）,预测序号
0:15,427.29,35,0,,
0:30,421.07,34,0,,
0:45,420.82,33,0,,
1:00,419.61,32,0,,
1:15,430.41,31,0,,
1:30,427.29,30,0,,
1:45,421.04,29,0,,
2:00,418.14,28,0,,
2:15,417.57,27,0,,
2:30,399.20,26,0,,
2:45,397.01,25,0,,
3:00,396.60,24,0,,
3:15,377.02,23,0,,
3:30,376.85,22,0,,
3:45,361.82,21,0,,
4:00,360.45,20,0,,
4:15,358.79,19,0,,
4:30,360.10,18,0,,
4:45,362.48,17,0,,
5:00,361.41,16,0,,
5:15,372.02,15,0,,
5:30,376.70,14,0,,
5:45,374.30,13,0,,
6:00,399.63,12,0,,
6:15,419.91,11,0,,
6:30,418.79,10,0,,
6:45,398.19,9,0,,
7:00,397.77,8,0,,
7:15,386.23,7,0,,
7:30,395.35,6,0,,
7:45,376.54,5,0,,
8:00,372.02,4,0,,
8:15,370.41,3,0,,
8:30,370.76,2,0,,
8:45,358.32,1,0,,
9:00,,,0,343.27,1
9:15,,,-170,374.76,1
9:30,,,-170,360.95,1
9:45,,,-170,360.45,1
10:00,,,-170,360.10,1
10:15,,,-170,360.42,1
10:30,,,-170,360.39,1
10:45,,,,,
11:00,,,,,
11:15,,,,,
11:30,,,,,
11:45,,,,,
12:00,,,,,
12:15,,,,,
12:30,,,,,
12:45,,,,,
13:00,,,,,
13:15,,,,,
13:30,,,,,
13:45,,,,,
14:00,,,,,
14:15,,,,,
14:30,,,,,
14:45,,,,,
15:00,,,,,
15:15,,,,,
15:30,,,,,
15:45,,,,,
16:00,,,,,
16:15,,,,,
16:30,,,,,
16:45,,,,,
17:00,,,,,
17:15,,,,,
17:30,,,,,
17:45,,,,,
18:00,,,,,
18:15,,,,,
18:30,,,,,
18:45,,,,,
19:00,,,,,
19:15,,,,,
19:30,,,,,
19:45,,,,,
20:00,,,,,
20:15,,,,,
20:30,,,,,
20:45,,,,,
21:00,,,,,
21:15,,,,,
21:30,,,,,
21:45,,,,,
22:00,,,,,
22:15,,,,,
22:30,,,,,
22:45,,,,,
23:00,,,,,
23:15,,,,,
23:30,,,,,
23:45,,,,,
0:00,,,,,
